TYPE,AREA,PRICE,PURPOSE,LOCATION,BUILD IN YEAR,BEDROOMS,BATHROOMS,PARKING SPACES
Flat,1417.5,49200000.0,for sale,"Eighteen, Kashmir Highway, Islamabad, Islamabad Capital",2024,2,2,1
House,4500.0,102500000.0,for sale,"DHA Defence Phase 2, DHA Defence, Islamabad, Islamabad Capital",2024,6,7,2
House,4500.0,124500000.0,for sale,"DHA Defence Phase 2, DHA Defence, Islamabad, Islamabad Capital",2024,5,7,2
Lower Portion,8100.0,735000.0,for rent,"F-7, Islamabad, Islamabad Capital",2023,3,4,3
House,1125.0,20500000.0,for sale,"MPCHS - Block F, MPCHS - Multi Gardens, B-17, Islamabad, Islamabad Capital",2025,3,3,2
Upper Portion,3195.0,65000.0,for rent,"G-15/1, G-15, Islamabad, Islamabad Capital",2016,3,3,1
Lower Portion,2250.0,95000.0,for rent,"G-13, Islamabad, Islamabad Capital",2022,3,3,1
Flat,2295.0,13000000.0,for sale,"Khudadad Heights, E-11/2, E-11, Islamabad, Islamabad Capital",2024,3,3,1
House,7200.0,1400000.0,for rent,"F-7, Islamabad, Islamabad Capital",2025,5,6,4
Flat,450.0,30000.0,for rent,"The Centaurus, F-8, Islamabad, Islamabad Capital",2024,1,1,1
House,4500.0,165000000.0,for sale,"F-11, Islamabad, Islamabad Capital",2008,7,6,6
House,4500.0,160000000.0,for sale,"G-13/2, G-13, Islamabad, Islamabad Capital",2023,6,6,2
House,2250.0,39500000.0,for sale,"Bahria Enclave - Sector M, Bahria Enclave, Bahria Town, Islamabad, Islamabad Capital",2024,5,6,3
House,990.0000000000001,11000000.0,for sale,"Khanna East, Islamabad, Islamabad Capital",2024,4,6,2
Farm House,45000.0,125000.0,for rent,"Gulberg Greens - Block A, Gulberg Greens, Gulberg, Islamabad, Islamabad Capital",2022,2,2,20
Lower Portion,3150.0,117000.0,for rent,"G-13, Islamabad, Islamabad Capital",2024,3,3,1
Flat,2160.0,55400000.0,for sale,"Eighteen, Kashmir Highway, Islamabad, Islamabad Capital",2024,3,4,1
Upper Portion,2250.0,78000.0,for rent,"DHA Defence Phase 2, DHA Defence, Islamabad, Islamabad Capital",2021,3,3,1
Flat,607.5,60000.0,for rent,"Top City 1 - Block C, Top City 1, Islamabad, Islamabad Capital",2024,1,1,1
House,4500.0,57500000.0,for sale,"Bahria Enclave - Sector C, Bahria Enclave, Bahria Town, Islamabad, Islamabad Capital",2025,6,6,2
Flat,855.0,17500000.0,for sale,"G-11, Islamabad, Islamabad Capital",2024,2,2,1
House,1800.0,40000000.0,for sale,"Bahria Enclave, Bahria Town, Islamabad, Islamabad Capital",2024,5,6,2
House,2880.0,100000000.0,for sale,"I-8, Islamabad, Islamabad Capital",2024,5,5,2
Flat,877.5,17600000.0,for sale,"DHA Defence Phase 5, DHA Defence, Islamabad, Islamabad Capital",2024,1,1,1
Flat,540.0,33000.0,for rent,"Gulberg Greens - Block B, Gulberg Greens, Gulberg, Islamabad, Islamabad Capital",2022,1,1,1
Upper Portion,2452.5,85000.0,for rent,"E-11, Islamabad, Islamabad Capital",2021,3,3,1
House,1507.5,40000000.0,for sale,"I-10/2, I-10, Islamabad, Islamabad Capital",2024,4,4,2
Upper Portion,4500.0,210000.0,for rent,"I-8/3, I-8, Islamabad, Islamabad Capital",2024,3,3,1
Flat,495.00000000000006,30000.0,for rent,"Gulberg Greens, Gulberg, Islamabad, Islamabad Capital",2023,1,1,1
House,5850.0,320000000.0,for sale,"F-7, Islamabad, Islamabad Capital",2020,5,6,2
House,1575.0,58500000.0,for sale,"G-13, Islamabad, Islamabad Capital",2022,4,6,2
Flat,945.0,55000.0,for rent,"Bahria Enclave, Bahria Town, Islamabad, Islamabad Capital",2024,1,1,1
House,4500.0,100000000.0,for sale,"Bahria Enclave - Sector C, Bahria Enclave, Bahria Town, Islamabad, Islamabad Capital",2024,4,5,2
House,4500.0,60000000.0,for sale,"Top City 1, Islamabad, Islamabad Capital",2024,8,7,4
Upper Portion,3195.0,130000.0,for rent,"I-8, Islamabad, Islamabad Capital",2024,3,3,1
Flat,1102.5,9000000.0,for sale,"Soan Garden - Block H, Soan Garden, Islamabad, Islamabad Capital",2023,3,3,1
Flat,1350.0,13500000.0,for sale,"The Atrium, Zaraj Housing Scheme, Islamabad, Islamabad Capital",2020,2,2,2
House,810.0,20000.0,for rent,"Jinnah Gardens, FECHS, Islamabad, Islamabad Capital",2024,2,2,2
Upper Portion,3150.0,145000.0,for rent,"I-8, Islamabad, Islamabad Capital",2024,3,3,1
Flat,877.5,6000000.0,for sale,"I-12, Islamabad, Islamabad Capital",2024,2,2,2
Lower Portion,4950.0,170000.0,for rent,"G-11, Islamabad, Islamabad Capital",2022,4,4,3
Farm House,99000.0,400000000.0,for sale,"Chak Shahzad Farms, Chak Shahzad, Islamabad, Islamabad Capital",2024,6,6,1
House,1125.0,22000000.0,for sale,"Faisal Margalla City, B-17, Islamabad, Islamabad Capital",2024,4,4,2
House,1575.0,28000000.0,for sale,"Soan Garden - Block H, Soan Garden, Islamabad, Islamabad Capital",2021,5,6,2
Flat,1057.5,62000.0,for rent,"PWD Housing Society - Block C, PWD Housing Scheme, Islamabad, Islamabad Capital",2022,2,2,1
House,5400.0,190000000.0,for sale,"G-11/2, G-11, Islamabad, Islamabad Capital",2024,9,7,2
House,5850.0,320000000.0,for sale,"F-7/2, F-7, Islamabad, Islamabad Capital",2005,3,3,7
House,3195.0,150000000.0,for sale,"G-9, Islamabad, Islamabad Capital",2021,6,6,2
House,2250.0,65000.0,for rent,"Gulberg Residencia - Block H, Gulberg Residencia, Gulberg, Islamabad, Islamabad Capital",2022,3,3,2
House,4500.0,125000000.0,for sale,"DHA Defence Phase 2, DHA Defence, Islamabad, Islamabad Capital",2025,5,5,3
House,1125.0,6600000.0,for sale,"DHA Valley - Lilly Sector, DHA Valley, DHA Defence, Islamabad, Islamabad Capital",2022,2,2,2
Flat,1440.0,110000.0,for rent,"E-11, Islamabad, Islamabad Capital",2024,3,3,1
House,9000.0,500000000.0,for sale,"F-6/2, F-6, Islamabad, Islamabad Capital",2024,5,6,2
House,990.0000000000001,34500000.0,for sale,"G-11, Islamabad, Islamabad Capital",2024,4,4,2
House,1125.0,13000000.0,for sale,"Bani Gala, Islamabad, Islamabad Capital",2024,2,2,4
Flat,607.5,50000.0,for rent,"E-11, Islamabad, Islamabad Capital",2024,1,1,1
Lower Portion,1800.0,80000.0,for rent,"E-11/2, E-11, Islamabad, Islamabad Capital",2022,2,2,1
Lower Portion,2250.0,69000.0,for rent,"Bahria Enclave - Sector B1, Bahria Enclave, Bahria Town, Islamabad, Islamabad Capital",2024,2,2,1
Flat,495.00000000000006,19000000.0,for sale,"Eighteen, Kashmir Highway, Islamabad, Islamabad Capital",2024,1,1,1
House,9450.0,2100000.0,for rent,"E-7, Islamabad, Islamabad Capital",2020,4,6,8
Lower Portion,7200.0,555000.0,for rent,"F-6/1, F-6, Islamabad, Islamabad Capital",2024,2,2,1
House,2092.5,300000.0,for rent,"F-11/3, F-11, Islamabad, Islamabad Capital",2024,5,5,2
Upper Portion,3150.0,120000.0,for rent,"G-13, Islamabad, Islamabad Capital",2022,4,4,1
House,1575.0,24000000.0,for sale,"F-17, Islamabad, Islamabad Capital",2024,4,6,2
Lower Portion,5850.0,375000.0,for rent,"F-8, Islamabad, Islamabad Capital",2024,3,4,1
House,2250.0,110000.0,for rent,"Top City 1, Islamabad, Islamabad Capital",2024,5,6,2
Upper Portion,1800.0,90000.0,for rent,"G-11, Islamabad, Islamabad Capital",2024,2,2,1
House,900.0,33000000.0,for sale,"G-13/1, G-13, Islamabad, Islamabad Capital",2017,5,5,1
Flat,1260.0,11000000.0,for sale,"E-11/2, E-11, Islamabad, Islamabad Capital",2024,2,2,1
Flat,1755.0,32000000.0,for sale,"E-11/1, E-11, Islamabad, Islamabad Capital",2024,3,3,1
House,900.0,41000000.0,for sale,"G-13/4, G-13, Islamabad, Islamabad Capital",2024,4,4,1
Lower Portion,1125.0,37000.0,for rent,"Naval Anchorage, Islamabad, Islamabad Capital",2024,2,2,4
Lower Portion,990.0000000000001,40000.0,for rent,"I-10/1, I-10, Islamabad, Islamabad Capital",2024,3,3,1
House,4500.0,180000000.0,for sale,"F-10, Islamabad, Islamabad Capital",2022,5,5,4
House,4500.0,124500000.0,for sale,"DHA Defence Phase 2, DHA Defence, Islamabad, Islamabad Capital",2024,5,6,2
Flat,562.5,50000.0,for rent,"Gulberg Greens, Gulberg, Islamabad, Islamabad Capital",2025,1,1,1
House,2250.0,85000000.0,for sale,"G-13, Islamabad, Islamabad Capital",2024,7,7,1
House,8550.0,400000000.0,for sale,"F-8, Islamabad, Islamabad Capital",1980,6,6,6
House,675.0,7500000.0,for sale,"Ghauri Town Phase 4 C2, Ghauri Town, Islamabad, Islamabad Capital",2025,2,3,1
Flat,855.0,80000.0,for rent,"Gulberg Arena Mall, Gulberg Greens, Gulberg, Islamabad, Islamabad Capital",2024,1,1,1
Upper Portion,4500.0,70000.0,for rent,"DHA Defence Phase 2, DHA Defence, Islamabad, Islamabad Capital",2024,3,4,1
House,5850.0,2200000.0,for rent,"F-6, Islamabad, Islamabad Capital",2024,4,5,12
House,900.0,39000000.0,for sale,"G-13, Islamabad, Islamabad Capital",2025,4,4,2
Flat,765.0,27000000.0,for sale,"Eighteen, Kashmir Highway, Islamabad, Islamabad Capital",2024,2,2,1
House,4500.0,250000000.0,for sale,"D-12, Islamabad, Islamabad Capital",2024,9,6,2
House,1125.0,49500000.0,for sale,"G-9/4, G-9, Islamabad, Islamabad Capital",2012,4,4,15
Upper Portion,4500.0,72000.0,for rent,"Soan Garden - Block D, Soan Garden, Islamabad, Islamabad Capital",2020,3,4,2
House,2250.0,43000000.0,for sale,"Top City 1, Islamabad, Islamabad Capital",2024,5,6,2
House,7200.0,1000000.0,for rent,"E-7, Islamabad, Islamabad Capital",2016,5,6,8
House,4500.0,102000000.0,for sale,"Eighteen, Kashmir Highway, Islamabad, Islamabad Capital",2024,5,6,2
Upper Portion,2700.0,55000.0,for rent,"Bani Gala, Islamabad, Islamabad Capital",2024,2,3,1
House,1125.0,23000000.0,for sale,"Bahria Enclave - Sector N, Bahria Enclave, Bahria Town, Islamabad, Islamabad Capital",2023,3,3,1
House,4500.0,107500000.0,for sale,"DHA Defence Phase 2, DHA Defence, Islamabad, Islamabad Capital",2023,6,6,2
House,8100.0,440000000.0,for sale,"F-8, Islamabad, Islamabad Capital",2020,10,6,12
Flat,607.5,5500000.0,for sale,"The Gate Mall & Apartments, Faisal Town - F-18, Islamabad, Islamabad Capital",2024,1,1,1
House,2250.0,45000000.0,for sale,"Bahria Enclave - Sector C1, Bahria Enclave, Bahria Town, Islamabad, Islamabad Capital",2020,5,6,3
Flat,2160.0,150000.0,for rent,"The Arch, G-11/3, G-11, Islamabad, Islamabad Capital",2024,3,4,1
Upper Portion,1350.0,35000.0,for rent,"Bani Gala, Islamabad, Islamabad Capital",2024,2,3,1
Lower Portion,2700.0,140000.0,for rent,"I-8/2, I-8, Islamabad, Islamabad Capital",2010,3,3,1
Flat,360.0,16500000.0,for sale,"Mumtaz City, Islamabad, Islamabad Capital",2024,2,1,1
